idmensaje,idusuarioremitente,idusuarioreceptor,fechamensaje,contenidomensaje
9337,467,593,2022-01-17,Algun dia me tienes que enseñar a jugar al Stardew Valley
9338,467,278,2022-01-05,¿Quieres jugar de nuevo?
9339,467,70,2022-01-30,¿Quieres jugar una partida?
9340,467,140,2022-01-09,¿Te gustaría jugar en grupo?
9341,468,120,2022-01-29,No me carga tu descripcion :(
9342,468,667,2022-01-04,¿Qué te parece si jugamos en modo historia?
9343,468,780,2022-01-03,¿Cuántas horas has jugado?
9344,468,149,2022-01-28,¿Qué piensas de las habilidades especiales?
9345,468,946,2022-01-30,¡No puedo creer que ganamos esa partida!
9346,468,719,2022-01-09,Muy cringe tu foto de perfil
9347,468,452,2022-01-13,¿Qué piensas de la música del juego?
9348,468,757,2022-01-19,¿Has visto el último tráiler?
9349,468,394,2022-01-04,¿Has visto el último tráiler?
9350,468,456,2022-01-05,Que perfil mas chulo
9351,468,299,2022-01-12,Echemonos algunas partidas al CSGO
9352,468,389,2022-01-18,¡Eso fue épico!
9353,468,669,2022-01-24,No jugueis con el le faltan manos
9354,468,30,2022-01-20,Hola te acuerdas de mi? besis <oo>
9355,468,433,2022-01-28,¡No puedo esperar para jugar de nuevo!
9356,468,970,2022-01-26,¿Te gustaría unirte a nuestro clan?
9357,468,4,2022-01-26,¿Te gustaría jugar en grupo?
9358,468,78,2022-01-01,¿Cómo has estado?
9359,468,833,2022-01-25,No te rindas tienes potencial
9360,468,728,2022-01-18,Me intercambias cromos?
9361,469,906,2022-01-29,¿Cuál es tu mapa favorito?
9362,469,702,2022-01-20,¿Qué te parece si creamos un torneo?
9363,469,558,2022-01-06,¿Te gustaría unirte a nuestro grupo de
9364,469,210,2022-01-25,Vete a recoger patatas
9365,469,443,2022-01-23,Vete a recoger patatas
9366,469,825,2022-01-11,¿Cuál es tu estrategia favorita?
9367,469,736,2022-01-04,¡Esa fue una gran jugada!
9368,469,435,2022-01-29,Que perfil mas chulo
9369,469,129,2022-01-02,¿Te gustaría jugar en grupo?
9370,469,752,2022-01-30,Me intercambias cromos?
9371,469,977,2022-01-14,¿Qué piensas de los gráficos del juego?
9372,469,628,2022-01-27,¿Qué piensas de los gráficos del juego?
9373,469,152,2022-01-23,¿Quieres jugar de nuevo?
9374,469,128,2022-01-03,¿Has visto la última actualización?
9375,469,901,2022-01-07,¿Cuál es tu personaje más odiado?
9376,469,943,2022-01-28,¿Te gustaría jugar en grupo?
9377,469,503,2022-01-08,¡No puedo creer que ganamos esa partida!
9378,469,485,2022-01-21,¿Qué te parece si creamos un torneo?
9379,469,574,2022-01-18,Si no soportas la presión no juegas! Fastidias la experiencia de los demás
9380,469,943,2022-01-24,¡Esa fue una gran jugada!
9381,470,755,2022-01-20,¿Has visto el último tráiler?
9382,470,3,2022-01-06,Si eres una mujer negra fuerte y hermosa alguien pondrá esto en tus comentarios
9383,470,322,2022-01-04,¿Cuál es tu mapa favorito?
9384,470,136,2022-01-21,¿Qué piensas de las habilidades especiales?
9385,470,160,2022-01-14,¡Eso estuvo muy cerca!
9386,470,865,2022-01-25,¿Has visto el último tráiler?
9387,470,36,2022-01-13,Que perfil mas chulo
9388,470,144,2022-01-04,¿Qué piensas de las últimas actualizaciones?
9389,470,235,2022-01-04,¿Cuál es tu arma favorita?
9390,470,866,2022-01-24,No jugueis con el le faltan manos
9391,470,748,2022-01-18,¿Cuántas horas has jugado?
9392,470,327,2022-01-15,No me carga tu descripcion :(
9393,470,188,2022-01-02,¿Has visto la nueva arma?
9394,470,807,2022-01-17,Como es posible que tengas tantas horas O:
9395,470,646,2022-01-25,No me puedo creer que tengas tan pocas horas
9396,470,301,2022-01-16,Como es posible que tengas tantas horas O:
9397,470,907,2022-01-29,¿Cómo te va en el juego?
9398,470,392,2022-01-10,¿Has visto la nueva arma?
9399,470,611,2022-01-30,¿Has probado el nuevo personaje?
9400,470,934,2022-01-19,¿Cuál es tu personaje más odiado?
9401,471,135,2022-01-19,¡Vamos a hacer un equipo imbatible!
9402,471,121,2022-01-06,¿Qué piensas de las habilidades especiales?
9403,471,612,2022-01-11,¿Cuál es tu personaje favorito?
9404,471,481,2022-01-03,¿Quieres jugar una partida?
9405,471,538,2022-01-25,¿Cuál es tu personaje más odiado?
9406,471,682,2022-01-27,¿Cuál es tu arma favorita?
9407,471,419,2022-01-04,Hola, ¿cómo estás?
9408,471,581,2022-01-30,¿Cuál es tu estrategia favorita?
9409,471,320,2022-01-06,¡No puedo esperar para jugar de nuevo!
9410,471,23,2022-01-20,Algun dia me tienes que enseñar a jugar al Stardew Valley
9411,471,484,2022-01-12,Me intercambias cromos?
9412,471,218,2022-01-07,¿Te gustaría unirte a nuestro clan?
9413,471,50,2022-01-20,¿Qué piensas de los gráficos del juego?
9414,471,49,2022-01-09,¿Has visto la última actualización?
9415,471,204,2022-01-05,No me puedo creer que tengas tan pocas horas
9416,471,390,2022-01-15,Me intercambias cromos?
9417,471,686,2022-01-03,¿Qué te parece si creamos una estrategia?
9418,471,300,2022-01-28,¿Cuál es tu mapa favorito?
9419,471,34,2022-01-16,¿Cuál es tu arma favorita?
9420,471,671,2022-01-01,Hola te acuerdas de mi? besis <oo>
9421,472,809,2022-01-22,¡Eso estuvo muy cerca!
9422,472,607,2022-01-11,¿Qué piensas de las últimas actualizaciones?
9423,472,728,2022-01-04,¿Qué te parece si creamos un torneo?
9424,472,250,2022-01-10,Me intercambias cromos?
9425,472,38,2022-01-24,¿Qué te parece si creamos una estrategia?
9426,472,6,2022-01-27,No me puedo creer que tengas tan pocas horas
9427,472,736,2022-01-23,¿Cuántas horas has jugado?
9428,472,358,2022-01-07,No me carga tu descripcion :(
9429,472,310,2022-01-01,¿Te gustaría unirte a nuestro grupo de
9430,472,314,2022-01-30,Vete a recoger patatas
9431,472,904,2022-01-12,¿Has visto el último tráiler?
9432,472,603,2022-01-04,¡Eso fue épico!
9433,472,896,2022-01-19,Hola, ¿cómo estás?
9434,472,992,2022-01-15,¿Qué te parece si creamos un torneo?
9435,472,796,2022-01-06,¿Has visto el último tráiler?
9436,472,210,2022-01-05,Algun dia me tienes que enseñar a jugar al Stardew Valley
9437,472,43,2022-01-20,No me puedo creer que tengas tan pocas horas
9438,472,511,2022-01-09,Si no soportas la presión no juegas! Fastidias la experiencia de los demás
9439,472,756,2022-01-13,¿Cómo has estado?
9440,472,812,2022-01-02,¡Esa fue una gran jugada!
9441,473,794,2022-01-20,Me intercambias cromos?
9442,473,80,2022-01-05,¿Te gustaría jugar en equipo?
9443,473,45,2022-01-20,¿Qué piensas de las últimas actualizaciones?
9444,473,358,2022-01-25,Echemonos algunas partidas al CSGO
9445,473,927,2022-01-06,¿Qué te parece si nos agregamos como amigos?
9446,473,997,2022-01-01,No me carga tu descripcion :(
9447,473,413,2022-01-05,No jugueis con el le faltan manos
9448,473,474,2022-01-28,Si no soportas la presión no juegas! Fastidias la experiencia de los demás
9449,473,225,2022-01-12,¡Eso fue impresionante!
9450,473,707,2022-01-13,¿Qué te parece si creamos un torneo?
9451,473,378,2022-01-23,Me intercambias cromos?
9452,473,194,2022-01-16,No te rindas tienes potencial
9453,473,977,2022-01-08,¿Cuál es tu personaje favorito?
9454,473,204,2022-01-06,Vete a recoger patatas
9455,473,831,2022-01-10,¡Eso fue épico!
9456,473,811,2022-01-11,¿Te gustaría unirte a nuestro grupo de
9457,473,740,2022-01-30,¿Qué te parece si jugamos en modo historia?
9458,473,589,2022-01-01,Vete a recoger patatas
9459,473,756,2022-01-05,¿Cuál es tu arma favorita?
9460,473,854,2022-01-09,¡No puedo esperar para jugar de nuevo!
9461,474,277,2022-01-05,Vete a recoger patatas
9462,474,165,2022-01-21,+rep divertido jugar con el :D
9463,474,370,2022-01-24,¿Qué piensas de las habilidades especiales?
9464,474,955,2022-01-01,Muy cringe tu foto de perfil
9465,474,807,2022-01-05,¿Qué te parece si jugamos en modo historia?
9466,474,185,2022-01-15,¿Te gustaría una revancha?
9467,474,281,2022-01-01,¡Eso fue épico!
9468,474,799,2022-01-17,¡No puedo creer que ganamos esa partida!
9469,474,521,2022-01-05,¿Cuál es tu personaje más odiado?
9470,474,876,2022-01-03,Hola, ¿cómo estás?
9471,474,667,2022-01-02,¿Cuál es tu arma favorita?
9472,474,496,2022-01-05,GG
9473,474,705,2022-01-13,¿Qué piensas de las últimas actualizaciones?
9474,474,525,2022-01-10,¡No puedo esperar para jugar de nuevo!
9475,474,28,2022-01-25,¡No puedo creer que ganamos esa partida!
9476,474,609,2022-01-03,¡No puedo esperar para jugar de nuevo!
9477,474,555,2022-01-18,¿Te gustaría jugar en grupo?
9478,474,782,2022-01-05,No me puedo creer que tengas tan pocas horas
9479,474,93,2022-01-16,No me carga tu descripcion :(
9480,474,457,2022-01-02,¡Esa fue una gran jugada!
9481,475,62,2022-01-01,¿Cómo has estado?
9482,475,909,2022-01-13,¿Has probado el nuevo personaje?
9483,475,798,2022-01-12,¿Cuál es tu personaje más odiado?
9484,475,388,2022-01-12,Camper tunneler -rep
9485,475,35,2022-01-06,¿Te gustaría unirte a nuestro clan?
9486,475,165,2022-01-06,¿Qué piensas de las habilidades especiales?
9487,475,124,2022-01-12,¿Qué piensas de las últimas actualizaciones?
9488,475,522,2022-01-24,¿Cómo has estado?
9489,475,898,2022-01-14,¿Cómo te va en el juego?
9490,475,255,2022-01-12,¿Cómo te va en el juego?
9491,475,514,2022-01-01,¿Has visto la nueva arma?
9492,475,281,2022-01-28,¿Has probado el nuevo personaje?
9493,475,915,2022-01-28,Me intercambias cromos?
9494,475,23,2022-01-29,¿Qué te parece si jugamos en modo historia?
9495,475,363,2022-01-16,¡Vamos a hacer un equipo imbatible!
9496,475,503,2022-01-01,¿Has visto la nueva arma?
9497,475,263,2022-01-02,¿Has visto el último tráiler?
9498,475,848,2022-01-20,¡Esa fue una gran partida!
9499,475,439,2022-01-13,¿Qué te parece si nos agregamos como amigos?
9500,475,482,2022-01-08,¿Cómo has estado?
9501,476,582,2022-01-22,¿Qué piensas de los gráficos del juego?
9502,476,588,2022-01-24,No te rindas tienes potencial
9503,476,384,2022-01-30,¿Has visto el último tráiler?
9504,476,230,2022-01-24,¡Esa fue una gran jugada!
9505,476,397,2022-01-28,¿Qué piensas de las últimas actualizaciones?
9506,476,702,2022-01-04,Me intercambias cromos?
9507,476,100,2022-01-19,¿Quieres jugar una partida?
9508,476,438,2022-01-06,¡Esa fue una gran jugada!
9509,476,832,2022-01-25,GG
9510,476,672,2022-01-16,Si eres una mujer negra fuerte y hermosa alguien pondrá esto en tus comentarios
9511,476,91,2022-01-17,No jugueis con el le faltan manos
9512,476,722,2022-01-20,No te rindas tienes potencial
9513,476,616,2022-01-06,Algun dia me tienes que enseñar a jugar al Stardew Valley
9514,476,681,2022-01-24,¡Eso fue épico!
9515,476,791,2022-01-05,¿Qué piensas de la música del juego?
9516,476,835,2022-01-24,Camper tunneler -rep
9517,476,790,2022-01-28,No te rindas tienes potencial
9518,476,157,2022-01-24,GG
9519,476,149,2022-01-25,¿Te gustaría una revancha?
9520,476,948,2022-01-09,No te rindas tienes potencial
9521,477,578,2022-01-05,¿Qué te parece si creamos una estrategia?
9522,477,334,2022-01-02,¿Qué te parece si creamos una estrategia?
9523,477,510,2022-01-17,¡Eso fue épico!
9524,477,85,2022-01-16,¿Qué te parece si creamos un torneo?
9525,477,898,2022-01-07,¿Cuántas horas has jugado?
9526,477,2,2022-01-18,¿Cómo has estado?
9527,477,626,2022-01-19,Gracias por el carreo
9528,477,136,2022-01-11,¿Te gustaría jugar en equipo?
9529,477,441,2022-01-11,¡No puedo esperar para jugar de nuevo!
9530,477,595,2022-01-10,¿Has probado el nuevo personaje?
9531,477,840,2022-01-14,¿Cuántas horas has jugado?
9532,477,758,2022-01-26,¿Quieres jugar una partida?
9533,477,491,2022-01-10,¿Qué piensas de las habilidades especiales?
9534,477,493,2022-01-01,Echemonos algunas partidas al CSGO
9535,477,163,2022-01-04,Que perfil mas chulo
9536,477,991,2022-01-19,¿Cuántas horas has jugado?
9537,477,545,2022-01-10,¿Has probado el nuevo personaje?
9538,477,861,2022-01-11,¿Cómo has estado?
9539,477,613,2022-01-22,¡Eso fue impresionante!
9540,477,842,2022-01-07,¡Eso estuvo muy cerca!
9541,478,80,2022-01-01,¡Esa fue una gran jugada!
9542,478,89,2022-01-22,¿Te gustaría unirte a nuestro clan?
9543,478,630,2022-01-12,Si eres una mujer negra fuerte y hermosa alguien pondrá esto en tus comentarios
9544,478,817,2022-01-02,¿Cómo has estado?
9545,478,637,2022-01-08,No jugueis con el le faltan manos
9546,478,168,2022-01-13,No me puedo creer que tengas tan pocas horas
9547,478,928,2022-01-27,Hola, ¿cómo estás?
9548,478,260,2022-01-08,¿Qué te parece si jugamos en equipo?
9549,478,937,2022-01-02,Algun dia me tienes que enseñar a jugar al Stardew Valley
9550,478,103,2022-01-30,¿Has probado el nuevo personaje?
9551,478,238,2022-01-06,Echemonos algunas partidas al CSGO
9552,478,413,2022-01-22,¿Cuál es tu arma favorita?
9553,478,585,2022-01-15,Como es posible que tengas tantas horas O:
9554,478,255,2022-01-18,¿Cuál es tu personaje más odiado?
9555,478,276,2022-01-25,¡Eso fue épico!
9556,478,590,2022-01-26,¿Qué piensas de las últimas actualizaciones?
9557,478,223,2022-01-08,¿Qué piensas de la música del juego?
9558,478,386,2022-01-20,¿Qué piensas de las últimas actualizaciones?
9559,478,280,2022-01-25,Agregame para jugar juntos :)
9560,478,439,2022-01-30,¡Vamos a hacer un equipo imbatible!
9561,479,493,2022-01-15,¡Eso fue épico!
9562,479,372,2022-01-03,¿Cuál es tu estrategia favorita?
9563,479,699,2022-01-22,Algun dia me tienes que enseñar a jugar al Stardew Valley
9564,479,331,2022-01-17,¿Qué piensas de los gráficos del juego?
9565,479,368,2022-01-28,¿Has probado el nuevo personaje?
9566,479,191,2022-01-16,¿Qué te parece si creamos una estrategia?
9567,479,364,2022-01-27,Si eres una mujer negra fuerte y hermosa alguien pondrá esto en tus comentarios
9568,479,798,2022-01-20,¡Esa fue una gran partida!
9569,479,375,2022-01-01,¿Qué piensas de las últimas actualizaciones?
9570,479,586,2022-01-17,¿Has visto el último tráiler?
9571,479,77,2022-01-30,¿Cuál es tu arma favorita?
9572,479,21,2022-01-01,Agregame para jugar juntos :)
9573,479,220,2022-01-14,¿Qué piensas de las últimas actualizaciones?
9574,479,780,2022-01-03,Que perfil mas chulo
9575,479,919,2022-01-15,¿Quieres jugar una partida?
9576,479,643,2022-01-05,¡Eso fue impresionante!
9577,479,581,2022-01-06,¡No puedo esperar para jugar de nuevo!
9578,479,987,2022-01-16,¿Quieres jugar una partida?
9579,479,575,2022-01-30,¿Cómo te va en el juego?
9580,479,981,2022-01-18,¿Qué piensas de las últimas actualizaciones?
9581,480,323,2022-01-02,Como es posible que tengas tantas horas O:
9582,480,315,2022-01-15,¿Qué te parece si nos agregamos como amigos?
9583,480,176,2022-01-10,¡Eso fue épico!
9584,480,649,2022-01-10,Vete a recoger patatas
9585,480,620,2022-01-11,Que perfil mas chulo
9586,480,423,2022-01-19,¿Qué piensas de los gráficos del juego?
9587,480,699,2022-01-11,¿Qué te parece si jugamos en equipo?
9588,480,806,2022-01-05,¿Te gustaría unirte a nuestro grupo de
9589,480,923,2022-01-01,¿Has visto la última actualización?
9590,480,585,2022-01-08,¿Te gustaría unirte a nuestro grupo de
9591,480,867,2022-01-16,¿Te gustaría jugar en grupo?
9592,480,735,2022-01-12,¡Eso fue épico!
9593,480,813,2022-01-05,No te rindas tienes potencial
9594,480,445,2022-01-03,Gracias por el carreo
9595,480,708,2022-01-07,¡No puedo creer que ganamos esa partida!
9596,480,892,2022-01-25,¿Has visto la nueva arma?
9597,480,377,2022-01-26,Hola te acuerdas de mi? besis <oo>
9598,480,672,2022-01-10,¿Qué piensas de los gráficos del juego?
9599,480,967,2022-01-06,+rep divertido jugar con el :D
9600,480,681,2022-01-19,¿Cuál es tu personaje favorito?
9601,481,683,2022-01-08,Que perfil mas chulo
9602,481,715,2022-01-08,¿Qué te parece si creamos una estrategia?
9603,481,914,2022-01-18,¡No puedo esperar para jugar de nuevo!
9604,481,263,2022-01-22,¡No puedo esperar para jugar de nuevo!
9605,481,536,2022-01-12,¿Cuál es tu personaje favorito?
9606,481,776,2022-01-16,Muy cringe tu foto de perfil
9607,481,179,2022-01-29,¡Eso estuvo muy cerca!
9608,481,203,2022-01-29,¿Qué piensas de la música del juego?
9609,481,834,2022-01-06,Que perfil mas chulo
9610,481,73,2022-01-14,¡Eso fue épico!
9611,481,883,2022-01-09,¿Qué piensas de las habilidades especiales?
9612,481,549,2022-01-29,Si eres una mujer negra fuerte y hermosa alguien pondrá esto en tus comentarios
9613,481,193,2022-01-20,¿Te gustaría unirte a nuestro grupo de
9614,481,873,2022-01-23,No me carga tu descripcion :(
9615,481,154,2022-01-10,¿Qué te parece si jugamos en modo historia?
9616,481,180,2022-01-30,¿Cómo te va en el juego?
9617,481,116,2022-01-14,¿Cuántas horas has jugado?
9618,481,141,2022-01-29,¿Qué piensas de las últimas actualizaciones?
9619,481,855,2022-01-11,¿Te gustaría unirte a nuestro clan?
9620,481,308,2022-01-24,Gracias por el carreo
9621,482,29,2022-01-19,¡Eso estuvo muy cerca!
9622,482,875,2022-01-27,¿Cuál es tu mapa favorito?
9623,482,227,2022-01-19,+rep divertido jugar con el :D
9624,482,603,2022-01-05,¿Cómo has estado?
9625,482,438,2022-01-24,¿Has visto el último tráiler?
9626,482,353,2022-01-30,¡No puedo esperar para jugar de nuevo!
9627,482,959,2022-01-28,Echemonos algunas partidas al CSGO
9628,482,297,2022-01-04,¿Quieres jugar de nuevo?
9629,482,108,2022-01-07,Agregame para jugar juntos :)
9630,482,842,2022-01-12,¿Qué te parece si nos agregamos como amigos?
9631,482,267,2022-01-27,¿Has probado el nuevo personaje?
9632,482,170,2022-01-07,¿Te gustaría unirte a nuestro grupo de
9633,482,661,2022-01-20,¿Has visto la última actualización?
9634,482,349,2022-01-28,¿Te gustaría unirte a nuestro clan?
9635,482,636,2022-01-22,+rep divertido jugar con el :D
9636,482,827,2022-01-20,¿Cuál es tu personaje más odiado?
9637,482,726,2022-01-18,Echemonos algunas partidas al CSGO
9638,482,101,2022-01-19,¡Vamos a hacer un equipo imbatible!
9639,482,260,2022-01-25,¿Quieres jugar de nuevo?
9640,482,102,2022-01-29,¿Te gustaría unirte a nuestro clan?
9641,483,162,2022-01-18,¿Has visto el último tráiler?
9642,483,238,2022-01-26,Hola te acuerdas de mi? besis <oo>
9643,483,798,2022-01-23,¡Eso estuvo muy cerca!
9644,483,786,2022-01-13,¿Te gustaría jugar en grupo?
9645,483,307,2022-01-20,¿Qué te parece si jugamos en modo historia?
9646,483,822,2022-01-10,¿Qué piensas de las habilidades especiales?
9647,483,516,2022-01-15,¿Has probado el nuevo personaje?
9648,483,990,2022-01-16,Que perfil mas chulo
9649,483,436,2022-01-09,GG
9650,483,472,2022-01-10,¿Has visto la última actualización?
9651,483,312,2022-01-05,¿Cuál es tu estrategia favorita?
9652,483,548,2022-01-21,¿Te gustaría jugar en grupo?
9653,483,788,2022-01-27,¿Qué piensas de las últimas actualizaciones?
9654,483,779,2022-01-27,Hola te acuerdas de mi? besis <oo>
9655,483,911,2022-01-10,¿Quieres jugar una partida?
9656,483,489,2022-01-26,No jugueis con el le faltan manos
9657,483,890,2022-01-14,¿Qué te parece si jugamos en equipo?
9658,483,883,2022-01-21,¿Has visto el último tráiler?
9659,483,954,2022-01-05,¿Cuál es tu personaje favorito?
9660,483,506,2022-01-04,¿Cuál es tu arma favorita?
9661,484,262,2022-01-11,¡No puedo esperar para jugar de nuevo!
9662,484,939,2022-01-12,No jugueis con el le faltan manos
9663,484,114,2022-01-01,Que perfil mas chulo
9664,484,931,2022-01-19,¿Quieres jugar de nuevo?
9665,484,958,2022-01-25,¿Qué te parece si creamos un torneo?
9666,484,99,2022-01-11,¿Cómo has estado?
9667,484,129,2022-01-24,Que perfil mas chulo
9668,484,894,2022-01-26,¿Quieres jugar una partida?
9669,484,134,2022-01-11,Camper tunneler -rep
9670,484,781,2022-01-15,Agregame para jugar juntos :)
9671,484,278,2022-01-06,¿Cuál es tu personaje más odiado?
9672,484,841,2022-01-01,¿Te gustaría unirte a nuestro clan?
9673,484,767,2022-01-18,¿Cuál es tu arma favorita?
9674,484,49,2022-01-12,¿Te gustaría jugar en grupo?
9675,484,306,2022-01-22,¿Has visto la nueva arma?
9676,484,426,2022-01-05,¿Cuál es tu personaje favorito?
9677,484,555,2022-01-26,¿Qué piensas de los gráficos del juego?
9678,484,247,2022-01-15,¡Eso estuvo muy cerca!
9679,484,470,2022-01-05,¿Qué piensas de los gráficos del juego?
9680,484,410,2022-01-22,¿Qué te parece si jugamos en equipo?
9681,485,828,2022-01-08,¿Cuál es tu arma favorita?
9682,485,509,2022-01-09,¡Eso fue impresionante!
9683,485,139,2022-01-19,¿Qué te parece si nos agregamos como amigos?
9684,485,625,2022-01-13,¿Qué piensas de las habilidades especiales?
9685,485,640,2022-01-03,Si eres una mujer negra fuerte y hermosa alguien pondrá esto en tus comentarios
9686,485,731,2022-01-23,Hola, ¿cómo estás?
9687,485,734,2022-01-05,¿Has visto la nueva arma?
9688,485,953,2022-01-28,Muy cringe tu foto de perfil
9689,485,842,2022-01-03,Camper tunneler -rep
9690,485,876,2022-01-17,¿Qué te parece si nos agregamos como amigos?
9691,485,577,2022-01-13,¡Vamos a hacer un equipo imbatible!
9692,485,724,2022-01-03,¿Qué te parece si creamos una estrategia?
9693,485,174,2022-01-29,No te rindas tienes potencial
9694,485,364,2022-01-29,+rep divertido jugar con el :D
9695,485,770,2022-01-02,¿Cuántas horas has jugado?
9696,485,750,2022-01-22,Vete a recoger patatas
9697,485,315,2022-01-11,GG
9698,485,474,2022-01-07,¿Qué te parece si jugamos en equipo?
9699,485,811,2022-01-25,¡Eso fue épico!
9700,485,874,2022-01-13,Vete a recoger patatas
9701,486,212,2022-01-28,¿Cuál es tu personaje favorito?
9702,486,384,2022-01-02,¿Qué piensas de las últimas actualizaciones?
9703,486,941,2022-01-19,No jugueis con el le faltan manos
9704,486,664,2022-01-09,¿Cuántas horas has jugado?
9705,486,126,2022-01-01,Como es posible que tengas tantas horas O:
9706,486,208,2022-01-04,¿Cuál es tu mapa favorito?
9707,486,293,2022-01-04,¡Eso fue épico!
9708,486,170,2022-01-11,No me puedo creer que tengas tan pocas horas
9709,486,44,2022-01-07,¿Cuál es tu mapa favorito?
9710,486,235,2022-01-10,Hola, ¿cómo estás?
9711,486,709,2022-01-16,Si eres una mujer negra fuerte y hermosa alguien pondrá esto en tus comentarios
9712,486,659,2022-01-03,Me intercambias cromos?
9713,486,499,2022-01-04,¡Eso fue épico!
9714,486,235,2022-01-21,¿Has visto la última actualización?
9715,486,152,2022-01-18,¿Qué te parece si creamos una estrategia?
9716,486,798,2022-01-06,¿Qué piensas de los gráficos del juego?
9717,486,11,2022-01-14,No te rindas tienes potencial
9718,486,904,2022-01-18,Agregame para jugar juntos :)
9719,486,183,2022-01-16,¿Qué piensas de los gráficos del juego?
9720,486,33,2022-01-20,¡Esa fue una gran partida!
9721,487,136,2022-01-30,¿Has visto la última actualización?
9722,487,21,2022-01-05,¿Cuál es tu arma favorita?
9723,487,578,2022-01-11,¿Quieres jugar una partida?
9724,487,536,2022-01-09,¿Cuál es tu personaje favorito?
9725,487,842,2022-01-06,¡Eso fue impresionante!
9726,487,637,2022-01-05,¿Has visto la última actualización?
9727,487,868,2022-01-05,¡No puedo esperar para jugar de nuevo!
9728,487,818,2022-01-21,No jugueis con el le faltan manos
9729,487,112,2022-01-15,¿Qué piensas de las últimas actualizaciones?
9730,487,591,2022-01-13,¿Cuál es tu mapa favorito?
9731,487,493,2022-01-07,Hola, ¿cómo estás?
9732,487,912,2022-01-26,Si no soportas la presión no juegas! Fastidias la experiencia de los demás
9733,487,984,2022-01-22,GG
9734,487,64,2022-01-23,Me intercambias cromos?
9735,487,160,2022-01-27,Que perfil mas chulo
9736,487,90,2022-01-25,Si eres una mujer negra fuerte y hermosa alguien pondrá esto en tus comentarios
9737,487,547,2022-01-23,¿Cuál es tu personaje favorito?
9738,487,656,2022-01-28,¡No puedo esperar para jugar de nuevo!
9739,487,453,2022-01-20,¿Quieres jugar una partida?
9740,487,700,2022-01-07,GG
9741,488,938,2022-01-21,No me carga tu descripcion :(
9742,488,612,2022-01-13,¿Te gustaría jugar en equipo?
9743,488,221,2022-01-15,¡Vamos a hacer un equipo imbatible!
9744,488,656,2022-01-23,Agregame para jugar juntos :)
9745,488,796,2022-01-28,Me intercambias cromos?
9746,488,950,2022-01-19,¿Qué te parece si jugamos en equipo?
9747,488,132,2022-01-30,¿Qué te parece si jugamos en equipo?
9748,488,831,2022-01-14,¿Cuál es tu personaje más odiado?
9749,488,244,2022-01-07,¿Cómo te va en el juego?
9750,488,534,2022-01-02,¿Qué piensas de los gráficos del juego?
9751,488,507,2022-01-06,¿Has visto la última actualización?
9752,488,617,2022-01-04,+rep divertido jugar con el :D
9753,488,331,2022-01-09,¿Qué piensas de la música del juego?
9754,488,163,2022-01-16,¿Cuál es tu mapa favorito?
9755,488,936,2022-01-12,¿Cómo te va en el juego?
9756,488,325,2022-01-20,No me puedo creer que tengas tan pocas horas
9757,488,74,2022-01-20,¿Te gustaría unirte a nuestro clan?
9758,488,529,2022-01-10,¡Eso fue épico!
9759,488,204,2022-01-07,¿Cuál es tu personaje favorito?
9760,488,187,2022-01-23,Camper tunneler -rep
9761,489,779,2022-01-22,No jugueis con el le faltan manos
9762,489,318,2022-01-19,Echemonos algunas partidas al CSGO
9763,489,408,2022-01-20,¿Qué piensas de los gráficos del juego?
9764,489,925,2022-01-22,No me puedo creer que tengas tan pocas horas
9765,489,343,2022-01-16,No jugueis con el le faltan manos
9766,489,530,2022-01-27,Muy cringe tu foto de perfil
9767,489,753,2022-01-09,Agregame para jugar juntos :)
9768,489,810,2022-01-30,¿Qué te parece si jugamos en modo historia?
9769,489,321,2022-01-11,¿Cuál es tu personaje favorito?
9770,489,54,2022-01-12,No me puedo creer que tengas tan pocas horas
9771,489,213,2022-01-07,¿Has visto el último tráiler?
9772,489,704,2022-01-17,¡Esa fue una gran partida!
9773,489,219,2022-01-17,¿Cuántas horas has jugado?
9774,489,159,2022-01-29,Agregame para jugar juntos :)
9775,489,990,2022-01-14,¿Qué te parece si creamos una estrategia?
9776,489,969,2022-01-24,Agregame para jugar juntos :)
9777,489,381,2022-01-15,¿Cuál es tu mapa favorito?
9778,489,713,2022-01-20,¿Cuál es tu estrategia favorita?
9779,489,880,2022-01-19,Hola te acuerdas de mi? besis <oo>
9780,489,409,2022-01-30,¡Eso fue impresionante!
9781,490,676,2022-01-20,Algun dia me tienes que enseñar a jugar al Stardew Valley
9782,490,697,2022-01-30,¡No puedo creer que ganamos esa partida!
9783,490,824,2022-01-15,¿Te gustaría unirte a nuestro grupo de
9784,490,838,2022-01-06,¿Has visto la última actualización?
9785,490,550,2022-01-16,¿Te gustaría unirte a nuestro clan?
9786,490,866,2022-01-27,No me carga tu descripcion :(
9787,490,633,2022-01-12,Si eres una mujer negra fuerte y hermosa alguien pondrá esto en tus comentarios
9788,490,32,2022-01-28,¿Qué piensas de la música del juego?
9789,490,386,2022-01-18,No te rindas tienes potencial
9790,490,605,2022-01-18,Algun dia me tienes que enseñar a jugar al Stardew Valley
9791,490,60,2022-01-30,¿Cuál es tu personaje más odiado?
9792,490,261,2022-01-24,¿Te gustaría unirte a nuestro grupo de
9793,490,379,2022-01-12,¿Has visto la última actualización?
9794,490,554,2022-01-09,¡No puedo esperar para jugar de nuevo!
9795,490,721,2022-01-07,Hola te acuerdas de mi? besis <oo>
